OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Temp_Exposure,Temp_Exposure_2080,Shape_Length,Shape_Area,Temp_Mid,Temp_Late,Shape__Area,Shape__Length
163,34.375-118.25,400,-118.25,34.375,91.4747,5.63,8.4,Medium,Medium,0.25,0.00390625,97.105,99.875,58671042.953125,30780.5532394208
164,34.375-118.3125,376,-118.3125,34.375,91.382,5.8,8.65,High,High,0.25,0.00390625,97.182,100.032,58670867.2304688,30780.5122191449
165,34.375-118.375,352,-118.375,34.375,92.948,5.88,8.66,High,High,0.25,0.00390625,98.828,101.608,58670808.8867188,30780.4954481612
166,34.375-118.4375,328,-118.4375,34.375,96.818,6.22,9.01,High,High,0.25,0.00390625,103.038,105.828,58670750.5351563,30780.4786772283
167,34.375-118.5,304,-118.5,34.375,96.7307,6.46,9.4,High,High,0.25,0.00390625,103.191,106.131,58670692.1953125,30780.4619063719
168,34.375-118.5625,280,-118.5625,34.375,98.168,6.44,9.25,High,High,0.25,0.00390625,104.608,107.418,58670631.9765625,30780.4470905112
169,34.375-118.625,256,-118.625,34.375,99.1967,6.51,9.21,High,High,0.25,0.00390625,105.707,108.407,58670668.2617188,30780.4575652987
170,34.375-118.6875,232,-118.6875,34.375,99.572,6.55,9.27,High,High,0.2424242,0.003807089,106.122,108.842,57181768.7226563,29896.0734816253
171,34.375-118.75,208,-118.75,34.375,97.052,6.42,9.1,High,High,0.1105327,0.0004422311,103.472,106.152,6643537.0625,14221.0695525645
172,34.4375-117.6875,617,-117.6875,34.4375,97.6667,5.26,8.08,Medium,Medium,0.1813876,0.001735066,102.927,105.747,26079423.5898438,23154.1140075906
173,34.4375-117.75,593,-117.75,34.4375,96.89,5.29,8.09,Medium,Medium,0.25,0.00390625,102.18,104.98,58714097.6679688,30792.9421244994
174,34.4375-117.8125,569,-117.8125,34.4375,96.152,5.21,8.02,Medium,Medium,0.25,0.00390625,101.362,104.172,58714249.8476563,30792.977460809
175,34.4375-117.875,545,-117.875,34.4375,96.764,4.97,7.69,Medium,Low,0.25,0.00390625,101.734,104.454,58714341.0195313,30793.003671992
176,34.4375-117.9375,521,-117.9375,34.4375,96.638,4.93,7.63,Medium,Low,0.25,0.00390625,101.568,104.268,58714432.203125,30793.0298833515
177,34.4375-118,497,-118,34.4375,95.792,4.98,7.65,Medium,Low,0.25,0.00390625,100.772,103.442,58714523.3867188,30793.0560948114
178,34.4375-118.0625,473,-118.0625,34.4375,95.738,5.03,7.72,Medium,Medium,0.25,0.00390625,100.768,103.458,58714649.6601563,30793.0904557125
179,34.4375-118.125,449,-118.125,34.4375,95.5787,5.12,7.88,Medium,Medium,0.25,0.00390625,100.699,103.459,58714734.9804688,30793.1149375937
180,34.4375-118.1875,425,-118.1875,34.4375,98.348,5.22,8,Medium,Medium,0.25,0.00390625,103.568,106.348,58714818.6054688,30793.1390190172
181,34.4375-118.25,401,-118.25,34.4375,98.852,5.25,7.92,Medium,Medium,0.25,0.00390625,104.102,106.772,58714903.0625,30793.1632996566
182,34.4375-118.3125,377,-118.3125,34.4375,97.52,6,9,High,High,0.25,0.00390625,103.52,106.52,58714762.9257813,30793.130745959
183,34.4375-118.375,353,-118.375,34.4375,97.484,5.98,8.89,High,High,0.25,0.00390625,103.464,106.374,58714704.4921875,30793.1139499916
184,34.4375-118.4375,329,-118.4375,34.4375,98.24,6.1,8.94,High,High,0.25,0.00390625,104.34,107.18,58714646.0625,30793.0971540476
185,34.4375-118.5,305,-118.5,34.4375,98.582,6.4,9.27,High,High,0.25,0.00390625,104.982,107.852,58714587.6328125,30793.080358276
186,34.4375-118.5625,281,-118.5625,34.4375,99.932,6.49,9.36,High,High,0.25,0.00390625,106.422,109.292,58714545.0195313,30793.0697238212
187,34.4375-118.625,257,-118.625,34.4375,100.58,6.46,9.26,High,High,0.25,0.00390625,107.04,109.84,58714581.3515625,30793.0802145292
188,34.4375-118.6875,233,-118.6875,34.4375,99.212,6.67,9.49,High,High,0.25,0.00390625,105.882,108.702,58714618.5507813,30793.0909054958
189,34.4375-118.75,209,-118.75,34.4375,98.0987,6.65,9.49,High,High,0.2046623,0.002265198,104.749,107.589,34049850.4296875,25617.245157206
190,34.5-117.6875,618,-117.6875,34.5,99.9527,5.3,8.33,Medium,Medium,0.1794821,0.00167069,105.253,108.283,25130705.1132813,22955.424782477
191,34.5-117.75,594,-117.75,34.5,99.734,5.3,8.28,Medium,Medium,0.25,0.00390625,105.034,108.014,58758643.5195313,30805.7445062992
192,34.5-117.8125,570,-117.8125,34.5,99.3947,5.17,8.14,Medium,Medium,0.25,0.00390625,104.565,107.535,58758715.2226563,30805.7610673008
193,34.5-117.875,546,-117.875,34.5,99.374,5.09,7.92,Medium,Medium,0.25,0.00390625,104.464,107.294,58758720.640625,30805.7626250603
194,34.5-117.9375,522,-117.9375,34.5,99.644,5.03,7.82,Medium,Medium,0.25,0.00390625,104.674,107.464,58758726.0507813,30805.7641827607
195,34.5-118,498,-118,34.5,100.004,5.14,8,Medium,Medium,0.25,0.00390625,105.144,108.004,58758731.4726563,30805.7657404295
196,34.5-118.0625,474,-118.0625,34.5,100.1147,5.29,8.22,Medium,Medium,0.25,0.00390625,105.405,108.335,58758771.9921875,30805.7754596205
197,34.5-118.125,450,-118.125,34.5,99.68,5.39,8.38,Medium,Medium,0.25,0.00390625,105.07,108.06,58758772.2890625,30805.7755053019
198,34.5-118.1875,426,-118.1875,34.5,97.466,5.42,8.38,Medium,Medium,0.25,0.00390625,102.886,105.846,58758770.90625,30805.7751504941
199,34.5-118.25,402,-118.25,34.5,95.828,5.57,8.51,Medium,Medium,0.25,0.00390625,101.398,104.338,58758770.359375,30805.7749955051
200,34.5-118.3125,378,-118.3125,34.5,96.8,5.69,8.54,Medium,Medium,0.25,0.00390625,102.49,105.34,58758662.46875,30805.7494576507
201,34.5-118.375,354,-118.375,34.5,96.656,6.06,9.04,High,High,0.25,0.00390625,102.716,105.696,58758663.5,30805.749754202
202,34.5-118.4375,330,-118.4375,34.5,97.556,6.26,9.14,High,High,0.25,0.00390625,103.816,106.696,58758664.5273438,30805.7500507636
203,34.5-118.5,306,-118.5,34.5,97.5947,6.3,9.18,High,High,0.25,0.00390625,103.895,106.775,58758665.5546875,30805.7503471217
204,34.5-118.5625,282,-118.5625,34.5,99.122,6.42,9.34,High,High,0.25,0.00390625,105.542,108.462,58758628.6171875,30805.741568783
205,34.5-118.625,258,-118.625,34.5,99.7187,6.46,9.42,High,High,0.25,0.00390625,106.179,109.139,58758625.5,30805.7407169913
206,34.5-118.6875,234,-118.6875,34.5,98.5847,6.4,9.16,High,High,0.25,0.00390625,104.985,107.745,58758623.234375,30805.7400654411
207,34.5-118.75,210,-118.75,34.5,96.602,6.66,9.48,High,High,0.2416692,0.003786558,103.262,106.082,56958705.1523438,29832.7179578754
208,34.5-118.8125,186,-118.8125,34.5,95.036,6.59,9.3,High,High,0.1055575,0.0004039147,101.626,104.336,6077068.12890625,13594.738631499
209,34.5625-117.6875,619,-117.6875,34.5625,100.94,5.35,8.43,Medium,Medium,0.1658976,0.001278656,106.29,109.37,19248294.4648438,21456.1940769344
210,34.5625-117.75,595,-117.75,34.5625,101.0147,5.36,8.43,Medium,Medium,0.25,0.00390625,106.375,109.445,58802845.234375,30818.449214226
211,34.5625-117.8125,571,-117.8125,34.5625,100.706,5.33,8.35,Medium,Medium,0.25,0.00390625,106.036,109.056,58802889.5859375,30818.4592857111
212,34.5625-117.875,547,-117.875,34.5625,100.2947,5.24,8.21,Medium,Medium,0.25,0.00390625,105.535,108.505,58802895.0117188,30818.4608457919
213,34.5625-117.9375,523,-117.9375,34.5625,100.5647,5.27,8.14,Medium,Medium,0.25,0.00390625,105.835,108.705,58802900.4414063,30818.4624058434
214,34.5625-118,499,-118,34.5625,101.048,5.39,8.35,Medium,Medium,0.25,0.00390625,106.438,109.398,58802905.859375,30818.4639658396
215,34.5625-118.0625,475,-118.0625,34.5625,101.552,5.47,8.53,Medium,Medium,0.25,0.00390625,107.022,110.082,58802920.4414063,30818.4675403504
216,34.5625-118.125,451,-118.125,34.5625,101.894,5.47,8.56,Medium,Medium,0.25,0.00390625,107.364,110.454,58802920.7421875,30818.4675858064
217,34.5625-118.1875,427,-118.1875,34.5625,100.508,5.54,8.57,Medium,Medium,0.25,0.00390625,106.048,109.078,58802919.3515625,30818.4672308039
218,34.5625-118.25,403,-118.25,34.5625,97.862,5.7,8.69,Medium,High,0.25,0.00390625,103.562,106.552,58802918.8125,30818.4670758736
219,34.5625-118.3125,379,-118.3125,34.5625,95.108,5.87,8.84,High,High,0.25,0.00390625,100.978,103.948,58802865.4101563,30818.4544517671
220,34.5625-118.375,355,-118.375,34.5625,94.244,6,8.96,High,High,0.25,0.00390625,100.244,103.204,58802866.4375,30818.4547487729
221,34.5625-118.4375,331,-118.4375,34.5625,95.864,6.14,9.17,High,High,0.25,0.00390625,102.004,105.034,58802867.4648438,30818.4550457671
222,34.5625-118.5,307,-118.5,34.5625,97.0007,6.21,9.17,High,High,0.25,0.00390625,103.211,106.171,58802868.4960938,30818.4553424731
223,34.5625-118.5625,283,-118.5625,34.5625,96.8747,6.25,9.19,High,High,0.25,0.00390625,103.125,106.065,58802805.2304688,30818.4403409126
224,34.5625-118.625,259,-118.625,34.5625,97.142,6.24,9.11,High,High,0.25,0.00390625,103.382,106.252,58802802.1171875,30818.4394881431
225,34.5625-118.6875,235,-118.6875,34.5625,98.06,6.21,9.02,High,High,0.25,0.00390625,104.27,107.08,58802799.8398438,30818.4388356364
226,34.5625-118.75,211,-118.75,34.5625,94.1567,6.41,9.3,High,High,0.25,0.00390625,100.567,103.457,58802797.5664063,30818.4381833375
227,34.5625-118.8125,187,-118.8125,34.5625,94.784,6.38,9.15,High,High,0.2030245,0.002212629,101.164,103.934,33309661.046875,25458.601936079
228,34.625-117.6875,620,-117.6875,34.625,101.048,5.45,8.59,Medium,Medium,0.165912,0.001280655,106.498,109.638,19292912.0625,21470.5376538871
229,34.625-117.75,596,-117.75,34.625,101.0507,5.43,8.53,Medium,Medium,0.25,0.00390625,106.481,109.581,58847183.546875,30831.1931709705
230,34.625-117.8125,572,-117.8125,34.625,100.688,5.42,8.51,Medium,Medium,0.25,0.00390625,106.108,109.198,58847200.4960938,30831.1967529344
231,34.625-117.875,548,-117.875,34.625,101.0507,5.38,8.42,Medium,Medium,0.25,0.00390625,106.431,109.471,58847205.9296875,30831.1983153208
232,34.625-117.9375,524,-117.9375,34.625,100.994,5.46,8.47,Medium,Medium,0.25,0.00390625,106.454,109.464,58847211.3632813,30831.1998777276
233,34.625-118,500,-118,34.625,101.282,5.55,8.53,Medium,Medium,0.25,0.00390625,106.832,109.812,58847216.7929688,30831.2014400791
234,34.625-118.0625,476,-118.0625,34.625,101.4287,5.71,8.79,Medium,High,0.25,0.00390625,107.139,110.219,58847205.3867188,30831.1988698844
235,34.625-118.125,452,-118.125,34.625,101.336,5.78,8.89,Medium,High,0.25,0.00390625,107.116,110.226,58847205.6914063,30831.198915142
236,34.625-118.1875,428,-118.1875,34.625,100.7267,5.86,8.94,High,High,0.25,0.00390625,106.587,109.667,58847204.3125,30831.1985599412
237,34.625-118.25,404,-118.25,34.625,100.202,5.95,8.97,High,High,0.25,0.00390625,106.152,109.172,58847203.7695313,30831.1984049689
238,34.625-118.3125,380,-118.3125,34.625,98.438,5.97,8.98,High,High,0.25,0.00390625,104.408,107.418,58847204.9296875,30831.1986947063
239,34.625-118.375,356,-118.375,34.625,96.062,6.04,9.04,High,High,0.25,0.00390625,102.102,105.102,58847205.9648438,30831.1989921675
240,34.625-118.4375,332,-118.4375,34.625,94.5527,6.06,9.09,High,High,0.25,0.00390625,100.613,103.643,58847206.9921875,30831.1992896269
241,34.625-118.5,308,-118.5,34.625,94.37,6.04,9.07,High,High,0.25,0.00390625,100.41,103.44,58847208.03125,30831.1995866858
242,34.625-118.5625,284,-118.5625,34.625,93.866,6.09,9.05,High,High,0.25,0.00390625,99.956,102.916,58847118.3984375,30831.1783618645
243,34.625-118.625,260,-118.625,34.625,93.4187,6.11,8.97,High,High,0.25,0.00390625,99.529,102.389,58847115.2734375,30831.1775081148
244,34.625-118.6875,236,-118.6875,34.625,95.504,6.09,8.96,High,High,0.25,0.00390625,101.594,104.464,58847112.9960938,30831.1768546191
245,34.625-118.75,212,-118.75,34.625,95.2907,6.36,9.14,High,High,0.25,0.00390625,101.651,104.431,58847110.71875,30831.1762012492
246,34.625-118.8125,188,-118.8125,34.625,94.136,6.39,9.28,High,High,0.2410704,0.003768937,100.526,103.416,56779104.4023438,29787.7041988986
247,34.625-118.875,164,-118.875,34.625,89.3507,6.38,9.25,High,High,0.1011178,0.0003689648,95.731,98.601,5559596.00390625,13048.4812582985
248,34.6875-117.6875,621,-117.6875,34.6875,100.706,5.5,8.7,Medium,High,0.1656849,0.001268903,106.206,109.406,19130318.4726563,21458.0290974737
249,34.6875-117.75,597,-117.75,34.6875,100.418,5.48,8.58,Medium,Medium,0.25,0.00390625,105.898,108.998,58891658.8476563,30843.9764957104
250,34.6875-117.8125,573,-117.8125,34.6875,99.7934,5.47,8.56,Medium,Medium,0.25,0.00390625,105.263,108.353,58891648.3632813,30843.9735881309
251,34.6875-117.875,549,-117.875,34.6875,100.49,5.52,8.59,Medium,Medium,0.25,0.00390625,106.01,109.08,58891653.7929688,30843.9751528125
252,34.6875-117.9375,525,-117.9375,34.6875,101.48,5.59,8.62,Medium,High,0.25,0.00390625,107.07,110.1,58891659.2382813,30843.9767175951
253,34.6875-118,501,-118,34.6875,101.516,5.69,8.71,Medium,High,0.25,0.00390625,107.206,110.226,58891664.6796875,30843.9782823452
254,34.6875-118.0625,477,-118.0625,34.6875,101.228,5.92,9.01,High,High,0.25,0.00390625,107.148,110.238,58891627.2578125,30843.9695674494
255,34.6875-118.125,453,-118.125,34.6875,101.03,6.04,9.17,High,High,0.25,0.00390625,107.07,110.2,58891627.5703125,30843.9696124883
256,34.6875-118.1875,429,-118.1875,34.6875,100.814,6.14,9.2,High,High,0.25,0.00390625,106.954,110.014,58891626.1679688,30843.9692570773
257,34.6875-118.25,405,-118.25,34.6875,100.832,6.09,9.05,High,High,0.25,0.00390625,106.922,109.882,58891625.6289063,30843.9691019915
258,34.6875-118.3125,381,-118.3125,34.6875,99.914,6.04,8.99,High,High,0.25,0.00390625,105.954,108.904,58891681.4609375,30843.9823056532
259,34.6875-118.375,357,-118.375,34.6875,98.5127,6.08,9.07,High,High,0.25,0.00390625,104.593,107.583,58891682.484375,30843.9826035731
260,34.6875-118.4375,333,-118.4375,34.6875,97.2221,6.11,9.15,High,High,0.25,0.00390625,103.332,106.372,58891683.5195313,30843.9829014749
261,34.6875-118.5,309,-118.5,34.6875,95.36,6.09,9.09,High,High,0.25,0.00390625,101.45,104.45,58891684.5585938,30843.9831988808
262,34.6875-118.5625,285,-118.5625,34.6875,92.714,6.1,9.04,High,High,0.25,0.00390625,98.814,101.754,58891568.515625,30843.9557508126
263,34.6875-118.625,261,-118.625,34.6875,90.9527,6.1,9.01,High,High,0.25,0.00390625,97.053,99.963,58891565.390625,30843.9548960929
264,34.6875-118.6875,237,-118.6875,34.6875,90.2147,6.15,9,High,High,0.25,0.00390625,96.365,99.215,58891563.109375,30843.9542416193
265,34.6875-118.75,213,-118.75,34.6875,92.318,6.36,9.2,High,High,0.25,0.00390625,98.678,101.518,58891560.828125,30843.9535871705
266,34.6875-118.8125,189,-118.8125,34.6875,94.136,6.34,9.15,High,High,0.25,0.00390625,100.476,103.286,58891577.4375,30843.9554764197
267,34.6875-118.875,165,-118.875,34.6875,93.272,6.32,9.19,High,High,0.2000128,0.00212688,99.592,102.462,32067109.0742188,25152.3647714417
268,34.75-117.6875,622,-117.6875,34.75,100.544,5.63,8.83,Medium,High,0.1653656,0.001262707,106.174,109.374,19051289.1757813,21435.2911187044
269,34.75-117.75,598,-117.75,34.75,100.1507,5.57,8.77,Medium,High,0.25,0.00390625,105.721,108.921,58936165.671875,30856.7731404999
270,34.75-117.8125,574,-117.8125,34.75,99.9707,5.56,8.69,Medium,High,0.25,0.00390625,105.531,108.661,58936208.5234375,30856.782880685
271,34.75-117.875,550,-117.875,34.75,100.742,5.59,8.67,Medium,High,0.25,0.00390625,106.332,109.412,58936232.2382813,30856.7896970698
272,34.75-117.9375,526,-117.9375,34.75,101.66,5.67,8.71,Medium,High,0.25,0.00390625,107.33,110.37,58936255.9375,30856.7965134445
273,34.75-118,502,-118,34.75,101.57,5.75,8.78,Medium,High,0.25,0.00390625,107.32,110.35,58936279.6601563,30856.8033298113
274,34.75-118.0625,478,-118.0625,34.75,101.39,5.85,8.89,High,High,0.25,0.00390625,107.24,110.28,58936233.109375,30856.7926780229
275,34.75-118.125,454,-118.125,34.75,101.0507,6.08,9.21,High,High,0.25,0.00390625,107.131,110.261,58936223.359375,30856.7898322429
276,34.75-118.1875,430,-118.1875,34.75,100.8167,6.1,9.16,High,High,0.25,0.00390625,106.917,109.977,58936211.9101563,30856.7865860157
277,34.75-118.25,406,-118.25,34.75,100.544,6.04,9.03,High,High,0.25,0.00390625,106.584,109.574,58936201.3125,30856.7835401136
278,34.75-118.3125,382,-118.3125,34.75,99.932,6.06,9.02,High,High,0.25,0.00390625,105.992,108.952,58936273.0195313,30856.8001733269
279,34.75-118.375,358,-118.375,34.75,99.086,6.07,9.02,High,High,0.25,0.00390625,105.156,108.106,58936271.984375,30856.7998738422
280,34.75-118.4375,334,-118.4375,34.75,97.9754,6.12,9.08,High,High,0.25,0.00390625,104.095,107.055,58936270.9414063,30856.7995743365
281,34.75-118.5,310,-118.5,34.75,97.1267,6.12,9.08,High,High,0.25,0.00390625,103.247,106.207,58936269.8867188,30856.7992744272
282,34.75-118.5625,286,-118.5625,34.75,96.4634,6.04,8.96,High,High,0.25,0.00390625,102.503,105.423,58936159.4804688,30856.7732856359
283,34.75-118.625,262,-118.625,34.75,95.432,6.01,8.9,High,High,0.25,0.00390625,101.442,104.332,58936162.6601563,30856.7742424429
284,34.75-118.6875,238,-118.6875,34.75,94.856,6.03,8.93,High,High,0.25,0.00390625,100.886,103.786,58936166.6835938,30856.7753994797
285,34.75-118.75,214,-118.75,34.75,94.1027,6.05,8.87,High,High,0.25,0.00390625,100.153,102.973,58936170.7070313,30856.7765568013
286,34.75-118.8125,190,-118.8125,34.75,92.714,6.2,9.04,High,High,0.25,0.00390625,98.914,101.754,58936214.8828125,30856.7885734325
287,34.75-118.875,166,-118.875,34.75,91.148,6.1,8.95,High,High,0.2395698,0.003529034,97.248,100.098,53244750.0234375,29637.3273659134
288,34.75-118.9375,142,-118.9375,34.75,86.9387,6.1,9.08,High,High,0.08645637,0.000236619,93.039,96.019,3570790.6015625,11205.4345394543
289,34.8125-117.6875,623,-117.6875,34.8125,100.58,5.66,8.95,Medium,High,0.06033403,0.0002028137,106.24,109.53,3061328.98828125,7207.50771480929
290,34.8125-117.75,599,-117.75,34.8125,100.976,5.48,8.71,Medium,High,0.1460001,0.0006589184,106.456,109.686,9945926.3828125,16762.520723435
291,34.8125-117.8125,575,-117.8125,34.8125,101.678,5.48,8.67,Medium,High,0.1463079,0.0006697912,107.158,110.348,10110075.4257813,16804.2381375784
292,34.8125-117.875,551,-117.875,34.8125,102.002,5.73,8.83,Medium,High,0.145598,0.0006437995,107.732,110.832,9717727.38671875,16708.001217
293,34.8125-117.9375,527,-117.9375,34.8125,101.7347,5.74,8.78,Medium,High,0.1451492,0.0006283782,107.475,110.515,9484942.29296875,16647.0919111242
294,34.8125-118,503,-118,34.8125,101.606,5.78,8.81,Medium,High,0.1450413,0.0006312242,107.386,110.416,9527906.9921875,16632.5047001374
295,34.8125-118.0625,479,-118.0625,34.8125,101.2667,5.98,9.06,High,High,0.1441747,0.0005987164,107.247,110.327,9037188.328125,16515.0600311933
296,34.8125-118.125,455,-118.125,34.8125,101.2307,5.99,9.1,High,High,0.1427356,0.0005531937,107.221,110.331,8350017.609375,16319.9050367718
297,34.8125-118.1875,431,-118.1875,34.8125,100.9247,5.96,9.03,High,High,0.141346,0.0005116045,106.885,109.955,7722228.6796875,16131.4585050089
298,34.8125-118.25,407,-118.25,34.8125,100.5647,5.95,8.98,High,High,0.1404724,0.0004799756,106.515,109.545,7244794.0546875,16012.9363709144
299,34.8125-118.3125,383,-118.3125,34.8125,100.112,5.93,8.9,High,High,0.1401135,0.0004752133,106.042,109.012,7172916.69140625,15964.2765908967
300,34.8125-118.375,359,-118.375,34.8125,98.888,5.97,8.88,High,High,0.1392742,0.0004394515,104.858,107.768,6633101.3203125,15850.6005846349
301,34.8125-118.4375,335,-118.4375,34.8125,98.186,5.97,8.9,High,High,0.137997,0.0004066546,104.156,107.086,6138043.69140625,15677.3533985696
302,34.8125-118.5,311,-118.5,34.8125,96.6587,5.92,8.83,High,High,0.1370091,0.0003695194,102.579,105.489,5577505.34765625,15543.391260634
303,34.8125-118.5625,287,-118.5625,34.8125,95.648,5.89,8.79,High,High,0.1366062,0.0003646579,101.538,104.438,5504114.85546875,15488.6483822415
304,34.8125-118.625,263,-118.625,34.8125,94.6607,5.83,8.73,High,High,0.1365182,0.000359768,100.491,103.391,5430305.0390625,15476.7260573792
305,34.8125-118.6875,239,-118.6875,34.8125,94.28,5.8,8.69,High,High,0.136267,0.0003521492,100.08,102.97,5315303.65234375,15442.6597640757
306,34.8125-118.75,215,-118.75,34.8125,93.038,5.76,8.63,Medium,High,0.1360902,0.0003468733,98.798,101.668,5235666.64453125,15418.6811825248
307,34.8125-118.8125,191,-118.8125,34.8125,90.554,5.77,8.63,Medium,High,0.1355842,0.0003339614,96.324,99.184,5040770.8671875,15350.1276687396
308,34.8125-118.875,167,-118.875,34.8125,91.3667,5.81,8.7,High,High,0.09340789,0.000211179,97.177,100.067,3187506.08203125,10648.9265330227
309,34.8125-118.9375,143,-118.9375,34.8125,89.708,5.76,8.78,Medium,High,0.03493692,5.67038e-05,95.468,98.488,855884.1171875,4120.80100987407
310,33.25-118.3125,,-118.3125,33.25,78.584,3.7406,6.4687,Low,Low,0.02570742,3.148726e-05,82.325,85.053,466894.171875,3163.55077699719
311,33.25-118.375,,-118.375,33.25,79.682,3.7198,6.4396,Low,Low,0.0996742,0.0003728844,83.402,86.122,5529008.828125,11456.6313942546
312,33.3125-118.3125,,-118.3125,33.3125,82.364,3.7643,6.5512,Low,Low,0.06206078,0.0001554036,86.128,88.915,2304717.80859375,7989.4660424194
313,33.3125-118.375,,-118.375,33.3125,79.556,3.7522,6.5167,Low,Low,0.2246959,0.003223835,83.308,86.073,47820742.140625,27490.9718030939
314,33.3125-118.4375,,-118.4375,33.3125,78.9287,3.6824,6.4119,Low,Low,0.2362305,0.00343852,82.611,85.341,51009021.2539063,28743.3603428354
315,33.3125-118.5,,-118.5,33.3125,79.6487,3.6417,6.3774,Low,Low,0.1907971,0.002120334,83.29,86.026,31455224.96875,23325.6638134239
316,33.375-118.375,,-118.375,33.375,81.608,3.8078,6.5731,Low,Low,0.1179102,0.0005320373,85.416,88.181,7896379.671875,14566.6105626045
317,33.375-118.4375,,-118.4375,33.375,78.8567,3.7045,6.4986,Low,Low,0.2157816,0.002879691,82.561,85.355,42744034.046875,26080.4327344677
318,33.375-118.5,,-118.5,33.375,80.5514,3.7133,6.4372,Low,Low,0.2486449,0.003007588,84.265,86.989,44647292.6796875,30172.3807203969
319,33.375-118.5625,,-118.5625,33.375,81.194,3.7296,6.4027,Low,Low,0.1454212,0.0005736462,84.924,87.597,8517982.23046875,16695.0973419944
320,33.375-118.625,,-118.625,33.375,80.1527,3.8718,6.5595,Low,Low,0.009240665,2.423494e-06,84.024,86.712,35988.35546875,1065.13139159493
321,33.4375-118.5,,-118.5,33.4375,81.932,3.7793,6.5195,Low,Low,0.09283794,0.0003175335,85.711,88.452,4715637.06640625,10740.5411902994
322,33.4375-118.5625,,-118.5625,33.4375,80.51,3.8945,6.6695,Low,Low,0.1830457,0.001878133,84.405,87.18,27895379.6875,21844.1947418441
323,33.4375-118.625,,-118.625,33.4375,80.06,3.9673,6.6942,Low,Low,0.1419906,0.000962676,84.027,86.754,14298938.0234375,17403.1925013289
